,LP ID,URL,Product Name,Provider/Company Name,Sector(s),Primary Essential Function,Category,Sub_Category
188,29286,http://socratic.org,Socratic,Vespr,PreK-12; Higher Ed,LC - Study Tools - Q&A,LC ,Study Tools
189,94058,https://www.coursehero.com/,Course Hero,Course Hero,PreK-12; Higher Ed,LC - Study Tools,LC ,Study Tools
190,78818,http://www.enotes.com/,eNotes,Enotes.com,PreK-12; Higher Ed,LC - Study Tools - Q&A,LC ,Study Tools
191,48625,http://www.culturegrams.com/,CultureGrams,ProQuest,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository",LC ,"Sites, Resources & References"
192,22741,http://tes.com,TES, Tes Global Ltd ,PreK-12; Higher Ed,SDO - Human Resources,SDO , Human Resources
193,61945,https://zoom.us/,Zoom,"ZOOM VIDEO COMMUNICATIONS, INC.",PreK-12; Higher Ed; Corporate,CM - Virtual Classroom - Video Conferencing & Screen Sharing,CM , Virtual Classroom 
194,91165,http://www.mobymax.com/,MobyMax,MobyMax,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
195,65797,https://chrome.google.com/webstore/detail/google-drawings/mkaakpdehdafacodkgkpghoibnmamcme?hl=en-US,Google Drawings,Google LLC,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
196,76214,http://quizizz.com/,Quizizz,Quizizz,PreK-12; Higher Ed; Corporate,LC - Study Tools,LC ,Study Tools
197,64850,https://calendly.com/,Calendly,Calendly,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Classroom Management,CM , Classroom Engagement & Instruction 
198,76122,https://canva.com/,Canva,Canva,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
199,19334,http://www.enchantedlearning.com/,Enchanted Learning,Enchanted Learning,PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
200,70740,https://screencast-o-matic.com/,Screencast-O-Matic,Screencast-O-Matic,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
201,39004,http://www.tumblebooklibrary.com,TumbleBooks,TumbleBooks,PreK-12,"LC - Sites, Resources & Reference - Digital Collection & Repository",LC ,"Sites, Resources & References"
202,72676,https://www.kamiapp.com/,Kami,Kami Limited,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
203,11585,https://www-k6.thinkcentral.com/ePC/start.do,Think Central,Houghton Mifflin Harcourt,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
204,74653,https://www.studiesweekly.com,Studies Weekly,Studies Weekly,PreK-12,LC - Courseware & Textbooks,LC , Courseware & Textbooks
205,28456,http://www.smartmusic.com,SmartMusic,"MakeMusic, Inc.",PreK-12; Higher Ed,LC - Study Tools,LC ,Study Tools
206,60051,https://www.bigideasmath.com,Big Ideas Math,Big Ideas Learning,PreK-12,LC - Courseware & Textbooks,LC , Courseware & Textbooks
207,46123,https://www.collegeboard.org/,College Board,The College Board,PreK-12,SDO - Large-Scale & Standardized Testing,SDO , Large
208,24342,https://www.ebscohost.com/academic/ap-images-collection,AP Images Collection,"EBSCO Industries, Inc",PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository",LC ,"Sites, Resources & References"
209,89267,http://www.wiley.com,Wiley,John Wiley and Sons Inco,PreK-12; Higher Ed; Corporate,LC - Courseware & Textbooks,LC , Courseware & Textbooks
210,37891,http://www.classzone.com/cz/index.htm,ClassZone,Houghton Mifflin Harcourt,,,,
211,50168,http://www.hmhco.com,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt,PreK-12; Higher Ed,LC - Courseware & Textbooks,LC , Courseware & Textbooks
212,89688,http://www.teachtci.com,Teach TCI,Teach TCI,PreK-12,LC - Courseware & Textbooks,LC , Courseware & Textbooks
213,97209,https://spark.adobe.com,Adobe Spark,Adobe Inc.,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
214,79673,https://www.zendesk.com/,Zendesk,Zendesk,PreK-12; Higher Ed; Corporate,SDO - Human Resources,SDO , Human Resources
215,18982,https://www.gotomeeting.com/,GoToMeeting,LogMeIn,PreK-12; Higher Ed; Corporate,CM - Virtual Classroom - Video Conferencing & Screen Sharing,CM , Virtual Classroom 
216,70167,https://www.microsoft.com/en-us/download/details.aspx?id=23714,Microsoft XNA Game Studio,Microsoft,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
217,49521,http://www.hp.com/,HP,Hewlett-Packard,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other,LC/CM/SDO , Other
218,21298,https://www.explorelearning.com/index.cfm?method=cCorp.dspAbout,ExploreLearning Gizmos,"ExploreLearning, LLC",PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
219,24829,http://www.utahcompose.com/,Utah Compose,Measurement Incorporated ,PreK-12,LC - Study Tools,LC ,Study Tools
220,52196,https://jr.brainpop.com/,BrainPOP Jr.,BrainPOP LLC,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
221,45601,https://www.pearsonrealize.com/#/,Savvas Realize,Savvas Learning Company | Formerly Pearson K12 Learning,PreK-12,SDO - Learning Management Systems (LMS),SDO , Learning Management Systems (LMS)
222,25267,http://www.discoveryeducation.com/what-we-offer/techbook-digital-textbooks/science/index.cfm,Discovery Education - Science TechBook,Discovery Education,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
223,38871,https://gsuite.google.com/,Google Workspace,Google LLC,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other,LC/CM/SDO , Other
224,28324,http://www.curriculumassociates.com/products/ready-common-core-reading.aspx#.WFG2KfkrJEY,i-Ready Reading,Curriculum Associates,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
225,50129,https://www.curriculumassociates.com/products/i-ready,i-Ready Mathematics,Curriculum Associates,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
226,11069,http://www.mrdonn.org/index.html,Mr. Donn,mrdonn.org,PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
227,33946,http://www.jstor.org/,JSTOR,ITHAKA,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Digital Collection & Repository",LC ,"Sites, Resources & References"
228,87342,http://www.litcharts.com/,LitCharts,LitCharts LLC,PreK-12; Higher Ed,LC - Study Tools,LC ,Study Tools
229,80560,https://www.nitrotype.com/,Nitro Type,Teaching.com,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
230,92844,https://www.typing.com/,Typing.com,Teaching.com,PreK-12; Higher Ed; Corporate,LC - Digital Learning Platforms,LC , Digital Learning Platforms
231,61517,http://www.hmhco.com/shop/education-curriculum/world-languages/spanish/avancemos,¡Avancemos!,Houghton Mifflin Harcourt,PreK-12,LC - Courseware & Textbooks,LC , Courseware & Textbooks
232,96706,http://www.cengage.com/s/mindtap-course-list,MindTap,Cengage Learning,PreK-12; Higher Ed,LC - Courseware & Textbooks,LC , Courseware & Textbooks
233,26533,https://www.screencastify.com/,Screencastify,"Screencastify, LLC",PreK-12,LC - Content Creation & Curation,LC , Content Creation & Curation
234,68019,https://connected.mcgraw-hill.com/connected/login.do,ConnectED,McGraw-Hill PreK-12,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
235,28504,http://google.com/sheets/about/,Google Sheets,Google LLC,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other,LC/CM/SDO , Other
236,86775,http://www.wordreference.com,WordReference.com,WordReference.com,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Thesaurus & Dictionary",LC ,"Sites, Resources & References"
237,45716,http://student.classdojo.com/#/login,ClassDojo for Students,"ClassDojo, Inc.",,,,
238,36692,https://www.getepic.com/,Epic! - Unlimited Books for Kids,"Epic Creations, Inc.",PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
239,17941,https://www.kidsa-z.com/main/Login,Kids A-Z,Lazel Inc.,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
240,78247,http://www.fountasandpinnell.com/,Fountas & Pinnell,"Heinemann, a division of Greenwood Publishing Group LLC",PreK-12,LC - Courseware & Textbooks,LC , Courseware & Textbooks
241,29790,http://www.hoodamath.com/,Hooda Math,Hooda Math,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations",LC ,"Sites, Resources & References"
242,28199,https://www.iheart.com/,iHeartRadio,iHeartRadio,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Streaming Services",LC ,"Sites, Resources & References"
243,41675,http://onlinelibrary.uen.org/,onlinelibrary.uen.org,Utah Education Network,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository",LC ,"Sites, Resources & References"
244,11237,http://www.online-stopwatch.com/,online-stopwatch.com,online-stopwatch.com,PreK-12; Higher Ed,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
245,15254,http://appinventor.mit.edu/explore/,MIT App Inventor,Massachusetts Institute of Technology,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
246,22856,https://www.texthelp.com/en-us/products/fluencytutor/,Fluency Tutor,"Texthelp, Inc.",PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
247,88925,https://edu.google.com/expeditions/#about,Google Expeditions,Google LLC,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Digital Collection & Repository",LC ,"Sites, Resources & References"
248,53775,https://play.google.com/music/listen?u=0#/sulp,Google Play Music,Google LLC,,,,
249,60825,http://study.com,Study.com,Study.com,PreK-12; Higher Ed,LC - Digital Learning Platforms,LC , Digital Learning Platforms
250,81654,https://www.tinkercad.com/,Tinkercad," Autodesk, Inc",PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
251,42410,https://conjuguemos.com/,Conjuguemos,Yegros Educational LLC DBA Conjuguemos,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
252,42608,https://www.raz-plus.com/,Raz-Plus,Learning A-Z,PreK-12,LC - Courseware & Textbooks,LC , Courseware & Textbooks
253,83118,https://www.legendsoflearning.com,Legends of Learning,Legends of Learning,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
254,84342,https://blindsidenetworks.com/,Blindside Networks,Blindside Networks,PreK-12; Higher Ed; Corporate,"SDO - Data, Analytics & Reporting - Site Hosting & Data Warehousing",SDO ,"Data, Analytics & Reporting"
255,10745,https://wonderopolis.org,Wonderopolis,National Center for Families Learning,PreK-12,LC - Study Tools - Q&A,LC ,Study Tools
256,16164,https://www.nytimes.com,nytimes.com,The New York Times,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
257,69757,https://www.deltamath.com/,DeltaMath,DeltaMath,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
258,80473,http://www.didax.com/,Didax,Didax Education,PreK-12,"LC - Sites, Resources & References - Learning Materials & Supplies",LC ,"Sites, Resources & References"
259,37479,https://www.frontlineeducation.com/,Frontline Education,Frontline Education,PreK-12,SDO - Human Resources,SDO , Human Resources
260,69706,http://www.performancematters.com/,PoweSchool Performance Matters,Performance Matters,PreK-12,CM - Classroom Engagement & Instruction - Assessment & Classroom Response,CM , Classroom Engagement & Instruction 
261,44025,https://www.soundtrap.com/,Soundtrap,Spotify USA Inc,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
262,45811,https://sciencejournal.withgoogle.com/,Google Science Journal,Google LLC,,,,
263,98102,https://wow.boomlearning.com/search?collection=Featured,Boom Cards by Boom Learning,Boom Learning (a dba of Omega Labs Inc.),PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
264,26407,http://www.edmentum.com/products/academy,EdOptions Academy,Edmentum,PreK-12,LC - Online Course Providers & Technical Skills Development,LC , Online Course Providers & Technical Skills Development
265,84099,https://edutrainingcenter.withgoogle.com/,Google Training Center,Google LLC,,,,
266,36859,https://www.instagram.com,Instagram,Instagram,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other,LC/CM/SDO , Other
267,72468,https://outlook.live.com/owa/,Microsoft Outlook,Microsoft,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other,LC/CM/SDO , Other
268,83270,https://artsandculture.google.com/,Google Arts & Culture,Google LLC,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository",LC ,"Sites, Resources & References"
269,76661,https://www.worldwildlife.org,WWF ~ World Wildlife Fund,World Wildlife Fund,PreK-12; Higher Ed,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
270,13945,https://sched.com/,Sched,Sched LLC,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Classroom Management,CM , Classroom Engagement & Instruction 
271,11286,https://abcnews.go.com/?cid=marketing_search_ABC%20News%20-%20Branded%20General%20-%20BMM,ABC News,ABC digital,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
272,42725,https://www.lexialearning.com/products/core5,myLexia,Lexia Learning,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
273,26512,https://www.multiplication.com/,Multiplication.com,Multiplication.com,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations",LC ,"Sites, Resources & References"
274,48708,http://www.storylineonline.net/,Storyline Online,SAG-AFTRA Foundation,PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
275,46819,https://www.tes.com/lessons,Tes Teach, Tes Global Ltd ,PreK-12,LC - Content Creation & Curation,LC , Content Creation & Curation
276,79578,https://flippity.net/,Flippity,Flippity,PreK-12; Higher Ed,LC - Study Tools,LC ,Study Tools
277,91873,https://www.breakoutedu.com/,Breakout EDU,"Breakout, Inc",PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
278,98468,https://gsuite.google.com/products/jamboard/,Jamboard,Google LLC,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
279,49050,https://www.freckle.com/,Freckle by Renaissance,"Renaissance Learning, Inc.",PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
280,16401,https://www.pbs.org/,PBS,PBS,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
281,50282,https://safeshare.tv/,SafeShare,Vitzo Ltd,PreK-12; Higher Ed,CM - Classroom Engagement & Instruction - Classroom Management,CM , Classroom Engagement & Instruction 
282,52758,https://www.adobe.com/products/character-animator.html,Adobe Character Animator,Adobe Inc.,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
283,90153,https://www.netflix.com/,Netflix,Netflix,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Streaming Services",LC ,"Sites, Resources & References"
284,77430,https://www.canvaslms.com/gauge/,Instructure,"Instructure, Inc. ",PreK-12; Higher Ed; Corporate,SDO - Learning Management Systems (LMS),SDO , Learning Management Systems (LMS)
285,19184,http://pearsoneasybridge.com/,Savvas EasyBridge,Savvas Learning Company | Formerly Pearson K12 Learning,PreK-12,"SDO - Admissions, Enrollment & Rostering",SDO ," Admissions, Enrollment & Rostering"
286,68713,http://www.discoveryeducation.com/what-we-offer/techbook-digital-textbooks/math/,Discovery Education Math Techbook,Discovery Education,PreK-12,LC - Courseware & Textbooks,LC , Courseware & Textbooks
287,99580,https://loom.com/,"Loom - Video Recorder: Screen, Webcam and Mic","Loom, Inc",PreK-12; Higher Ed; Corporate,CM - Virtual Classroom - Video Conferencing & Screen Sharing,CM , Virtual Classroom 
288,96217,https://www.mathlearningcenter.org/,The Math Learning Center,The Math Learning Center,PreK-12,LC - Courseware & Textbooks,LC , Courseware & Textbooks
289,31827,https://onedrive.live.com/about/en-us/,Microsoft OneDrive,Microsoft,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other,LC/CM/SDO , Other
290,41424,https://www.commonapp.org/,Common App,"The Common Application, Inc.",PreK-12; Higher Ed,LC - Career Planning & Job Search,LC , Career Planning & Job Search
291,51288,https://www.eventbrite.com/,Eventbrite,Eventbrite,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
292,92894,https://www.marketwatch.com/,MarketWatch,MarketWatch,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
293,68845,https://info.flipgrid.com/,Flipgrid One,Microsoft,,,,
294,72758,https://www.google.com/calendar,Google Calendar,Google LLC,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other,LC/CM/SDO , Other
295,49687,https://www.snapchat.com/,Snapchat,Snap Inc.,PreK-12; Higher Ed,LC/CM/SDO - Other,LC/CM/SDO , Other
296,20619,https://doodle.com/,Doodle,Doodle Ltd,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Classroom Management,CM , Classroom Engagement & Instruction 
297,63740,https://www.generationgenius.com/,Generation Genius,"Generation Genius, Inc.",PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
298,18090,https://minecraft.net/en-us/,Minecraft,Microsoft,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Games & Simulations",LC ,"Sites, Resources & References"
299,45005,https://github.com/,GitHub,GitHub,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
300,77713,https://www.gale.com/c/testing-and-education-reference-center,Gale Presents: Peterson's Test Prep,Gale Cengage,PreK-12,LC - Study Tools - Test Prep & Study Skills,LC ,Study Tools
301,33326,https://www.ducksters.com/,Ducksters,"Technological Solutions, Inc. (TSI)",PreK-12,"LC - Sites, Resources & Reference - Games & Simulations",LC ,"Sites, Resources & References"
302,50626,https://forms.office.com/,Microsoft Forms,Microsoft Education,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Assessment & Classroom Response,CM , Classroom Engagement & Instruction 
303,86294,https://www.kiddle.co/,Kiddle,Google LLC,PreK-12,"LC - Sites, Resources & Reference - Encyclopedia",LC ,"Sites, Resources & References"
304,90929,https://www.gimkit.com/,Gimkit,Gimkit,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
305,53399,https://spark.adobe.com/about/page,Adobe Spark Page,Adobe Inc.,,,,
306,28701,https://www.luminpdf.com/,Lumin PDF,Nitrolabs Limited,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other,LC/CM/SDO , Other
307,69863,https://chrome.google.com/webstore,Chrome Web Store,Google LLC,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other,LC/CM/SDO , Other
308,17920,https://beinternetawesome.withgoogle.com/en_us/interland,Interland,Google LLC,PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
309,48984,https://www.safeschools.com,SafeSchools,Vector Solutions,PreK-12,"SDO - Environmental, Health & Safety (EHS) Compliance",SDO ," Environmental, Health & Safety (EHS) Compliance"
310,59434,https://app.seesaw.me/,Seesaw : The Learning Journal,Seesaw Learning Inc,PreK-12,LC - Content Creation & Curation,LC , Content Creation & Curation
311,92918,https://www.usnews.com/best-colleges/myfit,College Compass,"U.S. News & World Report, L.P.",,,,
312,31956,https://apcentral.collegeboard.org,AP Central,The College Board,PreK-12,LC - Study Tools - Test Prep & Study Skills,LC ,Study Tools
313,74174,http://wakelet.com,Wakelet,Wakelet,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
314,87762,https://chrome.google.com/webstore/detail/grammarly-for-chrome/kbfnbcaeplbcioakkpcpgfkobkghlhen?hl=en,Grammarly for Chrome,Grammarly,,,,
315,20677,https://www.remove.bg,remove.bg,Kaleido AI GmbH,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
316,32032,https://www.signupgenius.com/,SignUpGenius,SignUpGenius,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Classroom Management,CM , Classroom Engagement & Instruction 
317,66838,https://www.vooks.com/,Vooks,"Vooks, Inc.",PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
318,79652,https://www.istockphoto.com/,iStock,iStockphoto LP,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
319,29158,https://storyworks.scholastic.com,Storyworks,Scholastic Inc,PreK-12,LC - Courseware & Textbooks,LC , Courseware & Textbooks
320,37373,https://www.peardeck.com/googleslides,Pear Deck for Google Slides,GitHub,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
321,12816,https://www.turtlediary.com/,Turtle Diary,TurtleDiary LLC,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations",LC ,"Sites, Resources & References"
322,96034,http://www.roomrecess.com/,RoomRecess.com,RoomRecess.com,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations",LC ,"Sites, Resources & References"
323,18697,https://myap.collegeboard.org/login,College Board AP Classroom,The College Board,PreK-12,LC - Study Tools - Test Prep & Study Skills,LC ,Study Tools
324,57084,https://www.coolmathgames.com,CoolMath Games,CoolMath.com LLC,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations",LC ,"Sites, Resources & References"
325,64124,https://learn.genetics.utah.edu/,Learn.Genetics,The University of Utah ,PreK-12; Higher Ed,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
326,47261,https://www.funbrain.com/,Funbrain,"Funbrain Holdings, LLC",PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
327,35201,https://www.symbolab.com/,Symbolab,EqsQuest Ltd,PreK-12; Higher Ed,LC - Study Tools,LC ,Study Tools
328,36620,https://www.disneyplus.com/,Disney+,Disney,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Streaming Services",LC ,"Sites, Resources & References"
329,54110,https://www.pandora.com/,Pandora,"Pandora Media, LLC",PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Streaming Services",LC ,"Sites, Resources & References"
330,39623,https://www.spanishdict.com/,SpanishDict,Curiosity Media Inc,PreK-12; Higher Ed; Corporate,LC - Study Tools,LC ,Study Tools
331,78730,https://www.maxpreps.com/state/connecticut.htm,MaxPreps: Connecticut,CBS Interactive,,,,
332,62538,https://www.bitmoji.com,Bitmoji,Snap Inc.,PreK-12,LC - Content Creation & Curation,LC , Content Creation & Curation
333,71152,http://phet.colorado.edu/,PhET Interactive Science Simulations,University of Colorado,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations",LC ,"Sites, Resources & References"
334,55816,https://www.adobe.com/creativecloud/buy/education.html,Adobe Creative Cloud for Higher Ed,Adobe Inc,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
335,95967,https://www.livescience.com,Live Science,Future US Inc,PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
336,11910,https://www.pewresearch.org/,Pew Research Center,Pew Research Center ,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository",LC ,"Sites, Resources & References"
337,37948,https://www.docusign.com/,DocuSign,DocuSign Inc,PreK-12; Higher Ed; Corporate,SDO - Other,SDO , Other
338,30008,https://groups.google.com/a/learnplatform.com/forum/#!overview,Google Groups,Google LLC,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Classroom Management,CM , Classroom Engagement & Instruction 
339,48010,https://site.gcntraining.com,GCN Training,Global Compliance Network Inc,PreK-12; Higher Ed; Corporate,LC - Online Course Providers & Technical Skills Development,LC , Online Course Providers & Technical Skills Development
340,80972,https://www.explorelearning.com,ExploreLearning,"ExploreLearning, LLC",PreK-12,"LC - Sites, Resources & Reference - Games & Simulations",LC ,"Sites, Resources & References"
341,99789,https://www.evite.com,Evite,Evite,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
342,75206,https://www.ixl.com,IXL,IXL Learning,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
343,77320,https://www.lakeshorelearning.com,Lakeshore,Lakeshore Learning Materials,PreK-12,"LC - Sites, Resources & References - Learning Materials & Supplies",LC ,"Sites, Resources & References"
344,29806,https://www.mathworksheets4kids.com,Math Worksheets 4 Kids,Math Worksheets 4 Kids,PreK-12,LC - Study Tools,LC ,Study Tools
345,98845,https://meet.google.com/_meet,Meet,Google LLC,PreK-12; Higher Ed; Corporate,CM - Virtual Classroom - Video Conferencing & Screen Sharing,CM , Virtual Classroom 
346,28467,https://www.slidescarnival.com,SlidesCarnival,SlidesCarnival,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
347,23644,https://www.thoughtco.com,ThoughtCo,DotDash,PreK-12; Higher Ed,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
348,82101,https://time.com,Time,"Time USA, LLC ",PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
349,70878,https://musiclab.chromeexperiments.com/,CHROME MUSIC LAB,Google LLC,PreK-12; Higher Ed,LC - Content Creation & Curation,LC , Content Creation & Curation
350,79295,https://www.quavermusic.com,QuaverMusic,Quaver Music,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
351,11313,http://toytheater.com,Toy Theater,Toy Theater,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations",LC ,"Sites, Resources & References"
352,69610,https://www.ducksters.com/history/,History for Kids,"Technological Solutions, Inc. (TSI)",,,,
353,19750,https://whiteboard.fi,Whiteboard.fi,Whiteboard.fi,PreK-12,LC - Content Creation & Curation,LC , Content Creation & Curation
354,35098,https://safeyoutube.net/,SafeYouTube,Safe YouTube,,,,
355,22767,https://apps.apple.com/us/app/zoom-cloud-meetings/id546505307?ign-mpt=uo%3D4,ZOOM Cloud Meetings,"ZOOM VIDEO COMMUNICATIONS, INC.",PreK-12; Higher Ed; Corporate,CM - Virtual Classroom - Video Conferencing & Screen Sharing,CM , Virtual Classroom 
356,26248,https://studio.code.org,Studio Code,Code.org,,,,
357,94218,http://www.viewpure.com/,ViewPure,ViewPure,PreK-12,CM - Classroom Engagement & Instruction - Classroom Management,CM , Classroom Engagement & Instruction 
358,98128,https://www.blooket.com,Blooket,Blooket LLC,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
359,21650,https://www.musictheory.net/,Music Theory,musictheory.net,PreK-12; Higher Ed,LC - Study Tools,LC ,Study Tools
360,64581,https://hulu.com,Hulu,"Hulu, LLC",PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Streaming Services",LC ,"Sites, Resources & References"
361,83704,http://www.investopedia.com,Investopedia,IAC,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
362,70706,https://canvas.apps.chrome/,Canvas for Chrome,"Canvas Talent, Inc. ",PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
363,13282,https://www.schoolspecialty.com/,School Specialty,School Specialty Inc,PreK-12,"LC - Sites, Resources & References - Learning Materials & Supplies",LC ,"Sites, Resources & References"
364,24396,https://www.mathsisfun.com/,Math is Fun,Mathsisfun.com,PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
365,22241,https://www.history.com/,History.com," A&E Television Networks, LLC",PreK-12; Higher Ed,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
366,93376,https://www.cultofpedagogy.com/,Cult of Pedagogy,Cult of Pedagogy,PreK-12,CM - Teacher Resources - Professional Learning,CM , Teacher Resources 
367,88065,https://dochub.com/,DocHub,DocHub,PreK-12; Higher Ed; Corporate,SDO - Other,SDO , Other
